


| Training Step | Cross Entropy |  Layer  |   Epoch  |
Step 6100: loss = 1.51 (0.003 sec)
Step 6200: loss = 1.60 (0.003 sec)
Step 6300: loss = 1.51 (0.003 sec)
Step 6400: loss = 1.56 (0.003 sec)
Step 6500: loss = 1.54 (0.003 sec)
Step 6600: loss = 1.56 (0.059 sec)
Step 6700: loss = 1.53 (0.003 sec)
Step 6800: loss = 1.56 (0.003 sec)
Step 6900: loss = 1.57 (0.003 sec)
Step 7000: loss = 1.59 (0.003 sec)
Step 7100: loss = 1.57 (0.003 sec)
Step 7200: loss = 1.58 (0.003 sec)
Step 7300: loss = 1.57 (0.003 sec)
Step 7400: loss = 1.61 (0.003 sec)
Step 7500: loss = 1.56 (0.003 sec)
Step 7600: loss = 1.54 (0.002 sec)
Step 7700: loss = 1.58 (0.055 sec)
Step 7800: loss = 1.54 (0.003 sec)
Step 7900: loss = 1.57 (0.003 sec)
Step 8000: loss = 1.56 (0.003 sec)
Step 8100: loss = 1.56 (0.003 sec)
Step 8200: loss = 1.57 (0.003 sec)
Step 8300: loss = 1.53 (0.003 sec)
Step 8400: loss = 1.53 (0.003 sec)
Step 8500: loss = 1.57 (0.002 sec)
Step 8600: loss = 1.55 (0.003 sec)
Step 8700: loss = 1.58 (0.002 sec)
Step 8800: loss = 1.54 (0.067 sec)
Step 8900: loss = 1.54 (0.003 sec)
Step 9000: loss = 1.53 (0.003 sec)
Step 9100: loss = 1.53 (0.003 sec)
Step 9200: loss = 1.54 (0.003 sec)
Step 9300: loss = 1.52 (0.003 sec)
Step 9400: loss = 1.59 (0.003 sec)
Step 9500: loss = 1.53 (0.002 sec)
Step 9600: loss = 1.54 (0.003 sec)
Step 9700: loss = 1.53 (0.003 sec)
Step 9800: loss = 1.59 (0.002 sec)
Step 9900: loss = 1.54 (0.056 sec)
Step 10000: loss = 1.55 (0.003 sec)
Step 10100: loss = 1.54 (0.003 sec)
Step 10200: loss = 1.57 (0.003 sec)
Step 10300: loss = 1.54 (0.002 sec)
Step 10400: loss = 1.52 (0.003 sec)
Step 10500: loss = 1.54 (0.003 sec)
Step 10600: loss = 1.53 (0.003 sec)
Step 10700: loss = 1.53 (0.003 sec)
Step 10800: loss = 1.56 (0.002 sec)
Step 10900: loss = 1.53 (0.003 sec)
  Num examples: 10000  Num correct: 9294  Precision @ 1: 0.9294
