


| Training Step | Cross Entropy |  Layer  |   Epoch  |
|           100 |      135.4398 | Layer 1 | Epoch 23  |
|           100 |     1353.4442 | Layer 2 | Epoch 23  |
|           200 |      136.8154 | Layer 1 | Epoch 23  |
|           200 |     1267.8427 | Layer 2 | Epoch 23  |
|           300 |      138.8522 | Layer 1 | Epoch 23  |
|           300 |     1246.7504 | Layer 2 | Epoch 23  |
|           400 |      137.8266 | Layer 1 | Epoch 23  |
|           400 |     1260.3716 | Layer 2 | Epoch 23  |
|           500 |      139.9995 | Layer 1 | Epoch 23  |
|           500 |     1247.5547 | Layer 2 | Epoch 23  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      140.5297 | Layer 1 | Epoch 24  |
|             0 |     2439.3970 | Layer 2 | Epoch 24  |
|           100 |      136.3854 | Layer 1 | Epoch 24  |
|           100 |     1347.0541 | Layer 2 | Epoch 24  |
|           200 |      135.4681 | Layer 1 | Epoch 24  |
|           200 |     1261.2294 | Layer 2 | Epoch 24  |
|           300 |      136.5150 | Layer 1 | Epoch 24  |
|           300 |     1252.9070 | Layer 2 | Epoch 24  |
|           400 |      135.6279 | Layer 1 | Epoch 24  |
|           400 |     1260.0000 | Layer 2 | Epoch 24  |
|           500 |      138.6854 | Layer 1 | Epoch 24  |
|           500 |     1254.3833 | Layer 2 | Epoch 24  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      137.9704 | Layer 1 | Epoch 25  |
|             0 |     2491.0588 | Layer 2 | Epoch 25  |
|           100 |      143.8273 | Layer 1 | Epoch 25  |
|           100 |     1331.9309 | Layer 2 | Epoch 25  |
|           200 |      130.3995 | Layer 1 | Epoch 25  |
|           200 |     1267.2397 | Layer 2 | Epoch 25  |
|           300 |      131.7126 | Layer 1 | Epoch 25  |
|           300 |     1256.7310 | Layer 2 | Epoch 25  |
|           400 |      134.9442 | Layer 1 | Epoch 25  |
|           400 |     1253.2596 | Layer 2 | Epoch 25  |
|           500 |      137.4249 | Layer 1 | Epoch 25  |
|           500 |     1242.5337 | Layer 2 | Epoch 25  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      137.0674 | Layer 1 | Epoch 26  |
|             0 |     2474.5137 | Layer 2 | Epoch 26  |
|           100 |      130.8482 | Layer 1 | Epoch 26  |
|           100 |     1352.5182 | Layer 2 | Epoch 26  |
|           200 |      135.0187 | Layer 1 | Epoch 26  |
|           200 |     1266.6622 | Layer 2 | Epoch 26  |
|           300 |      136.2062 | Layer 1 | Epoch 26  |
|           300 |     1250.2628 | Layer 2 | Epoch 26  |
|           400 |      135.0195 | Layer 1 | Epoch 26  |
|           400 |     1244.4149 | Layer 2 | Epoch 26  |
|           500 |      127.3605 | Layer 1 | Epoch 26  |
|           500 |     1246.6686 | Layer 2 | Epoch 26  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      132.5072 | Layer 1 | Epoch 27  |
|             0 |     2543.5088 | Layer 2 | Epoch 27  |
|           100 |      138.1325 | Layer 1 | Epoch 27  |
|           100 |     1350.1101 | Layer 2 | Epoch 27  |
|           200 |      133.5639 | Layer 1 | Epoch 27  |
|           200 |     1267.8279 | Layer 2 | Epoch 27  |
|           300 |      130.3698 | Layer 1 | Epoch 27  |
|           300 |     1250.9154 | Layer 2 | Epoch 27  |
|           400 |      135.0539 | Layer 1 | Epoch 27  |
|           400 |     1249.6218 | Layer 2 | Epoch 27  |
|           500 |      130.0339 | Layer 1 | Epoch 27  |
|           500 |     1247.7151 | Layer 2 | Epoch 27  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      134.0547 | Layer 1 | Epoch 28  |
|             0 |     2507.5361 | Layer 2 | Epoch 28  |
|           100 |      126.1043 | Layer 1 | Epoch 28  |
|           100 |     1355.5132 | Layer 2 | Epoch 28  |
|           200 |      135.3204 | Layer 1 | Epoch 28  |
|           200 |     1265.2961 | Layer 2 | Epoch 28  |
|           300 |      131.6115 | Layer 1 | Epoch 28  |
|           300 |     1253.4469 | Layer 2 | Epoch 28  |
|           400 |      129.0152 | Layer 1 | Epoch 28  |
|           400 |     1248.0493 | Layer 2 | Epoch 28  |
|           500 |      130.6659 | Layer 1 | Epoch 28  |
|           500 |     1246.1328 | Layer 2 | Epoch 28  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      128.3704 | Layer 1 | Epoch 29  |
|             0 |     2448.7405 | Layer 2 | Epoch 29  |
|           100 |      132.6004 | Layer 1 | Epoch 29  |
|           100 |     1338.9568 | Layer 2 | Epoch 29  |
|           200 |      131.9752 | Layer 1 | Epoch 29  |
|           200 |     1252.9559 | Layer 2 | Epoch 29  |
|           300 |      130.6786 | Layer 1 | Epoch 29  |
|           300 |     1246.1763 | Layer 2 | Epoch 29  |
|           400 |      133.4295 | Layer 1 | Epoch 29  |
|           400 |     1241.7285 | Layer 2 | Epoch 29  |
|           500 |      124.5100 | Layer 1 | Epoch 29  |
|           500 |     1248.1570 | Layer 2 | Epoch 29  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      128.2143 | Layer 1 | Epoch 30  |
|             0 |     2503.5576 | Layer 2 | Epoch 30  |
|           100 |      131.6892 | Layer 1 | Epoch 30  |
|           100 |     1338.4874 | Layer 2 | Epoch 30  |
|           200 |      132.4497 | Layer 1 | Epoch 30  |
|           200 |     1260.2327 | Layer 2 | Epoch 30  |
|           300 |      126.8329 | Layer 1 | Epoch 30  |
|           300 |     1254.4744 | Layer 2 | Epoch 30  |
|           400 |      130.0515 | Layer 1 | Epoch 30  |
|           400 |     1233.1083 | Layer 2 | Epoch 30  |
|           500 |      130.2279 | Layer 1 | Epoch 30  |
|           500 |     1235.9589 | Layer 2 | Epoch 30  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      132.2581 | Layer 1 | Epoch 31  |
|             0 |     2473.4006 | Layer 2 | Epoch 31  |
|           100 |      128.7678 | Layer 1 | Epoch 31  |
|           100 |     1330.9746 | Layer 2 | Epoch 31  |
|           200 |      131.2339 | Layer 1 | Epoch 31  |
|           200 |     1247.7054 | Layer 2 | Epoch 31  |
|           300 |      131.9006 | Layer 1 | Epoch 31  |
|           300 |     1244.1749 | Layer 2 | Epoch 31  |
|           400 |      127.5505 | Layer 1 | Epoch 31  |
|           400 |     1239.5403 | Layer 2 | Epoch 31  |
|           500 |      130.3604 | Layer 1 | Epoch 31  |
|           500 |     1236.5768 | Layer 2 | Epoch 31  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      126.7345 | Layer 1 | Epoch 32  |
|             0 |     2508.8669 | Layer 2 | Epoch 32  |
|           100 |      129.1598 | Layer 1 | Epoch 32  |
|           100 |     1335.4500 | Layer 2 | Epoch 32  |
|           200 |      129.7876 | Layer 1 | Epoch 32  |
|           200 |     1252.0977 | Layer 2 | Epoch 32  |
|           300 |      129.1114 | Layer 1 | Epoch 32  |
|           300 |     1244.1018 | Layer 2 | Epoch 32  |
|           400 |      130.2419 | Layer 1 | Epoch 32  |
|           400 |     1227.6350 | Layer 2 | Epoch 32  |
|           500 |      133.8527 | Layer 1 | Epoch 32  |
|           500 |     1229.5682 | Layer 2 | Epoch 32  |


